key,chara,face,text
scene1_1,no_image,普通,10月1日…
scene1_2,主人公,普通,「今日から新しい学校…新しいクラスか……」
scene1_3,主人公の心の声（地の文）,普通,親の転勤の都合でつい先日、ここ黄泉町（こうせんちょう）に引っ越してきた。
scene1_4,主人公の心の声（地の文）,普通,親が転勤族だから、転校自体にはもう慣れているけど…、教室に行って最初にする挨拶はやっぱり緊張するな…。
scene1_5,主人公の心の声（地の文）,普通,上手く話せるだろうか…？
scene1_6,no_image,普通,ドンッ！
scene1_7,主人公の心の声（地の文）,普通,考え事をしながら歩いていたら、曲がり角で誰かにぶつかってしまった。
scene1_8,？？？,びっくり,「きゃっ…！？」
scene1_9,主人公,普通,「…！？　危ない！！」
scene1_10,主人公の心の声（地の文）,普通,ぶつかった拍子に車道側に転びそうになるその人を咄嗟に引き寄せる。
scene1_11,主人公,普通,「ごめんなさい、考え事をしていて…！大丈夫ですか？！」
scene1_12,？？？,びっくり,「わっ…びっくりした…！」
scene1_13,no_image,笑顔,「ありがとう！お兄さん、ヒーローみたいだねっ！」
scene1_14,主人公,普通,「ヒーロー…？」
scene1_15,？？？,びっくり,「あ、やばい！もうこんな時間！ひすいにまた怒られちゃう…！」
scene1_16,no_image,普通,「じゃあね！ヒーロー！」
scene1_17,主人公の心の声（地の文）,普通,走って行ってしまった…
scene1_18,no_image,普通,今の子、実験着のような格好をしていたけど、下に着ていたのは制服だったよな…？
scene1_19,no_image,普通,形は少し違うけれど、同じ制服を着ていたのできっと同じ学校の人だ。
scene1_20,no_image,普通,同い年くらいかな…？
scene1_21,no_image,普通,とにかく、学校に向かおう。
scene1_22,no_image,普通,少し歩くと今日から通う学校“ハロウィンジャー学園”が見えてきた。
scene1_23,no_image,普通,
scene1_24,校長,普通,「我が校は地元との繋がりを大事にしている学校でね。普通科の生徒も工業系の学科の生徒も
scene1_25,no_image,普通,担任の先生について教室に入ると、ざわざわと教室がざわめきだす。
scene1_26,先生,普通,「静かに！今日からこのクラスで一緒に勉強する転校生を紹介するぞ」
scene1_27,no_image,普通,
scene1_28,○○（下の名前）（主人公）,普通,「初めまして、●●○○です。よろしくお願いします」
scene1_29,？？？,びっくり,「あ！！キミはさっきの！！」
scene1_30,先生,普通,「お、既に顔見知りだったか。ちょうどいい、席は青野の隣だ。色々教えてもらうといい」
scene1_31,主人公の心の声（地の文）,普通,指定された席に着くと、隣の席の青野さんが声をかけてきた。
scene1_32,青野,普通,「さっきはありがとう！よろしくね、○○くん！」
scene1_33,先生,普通,「みんな席に着いたな？よし、いよいよ今日からハロウィン祭準備が始まるぞ！しっかり準備をしていくように！」
scene1_34,主人公,普通,「ハロウィン祭？」
scene1_35,先生,普通,「●●は初めてか。そうだな…ハロウィン祭というのは……」
scene1_36,no_image,普通,キーンコーンカーンコーン
scene1_37,主人公の心の声（地の文）,普通,と、ここまで話した先生の言葉を遮るようにチャイムが鳴る。
scene1_38,no_image,普通,困ったような顔をして、先生が続ける。
scene1_39,先生,普通,「ふむ、せっかくだ。同じ班でもあるし、青野の班でいろいろ教えてやってくれ」
scene1_40,先生,普通,「朝のＳＨＲはここまで！」
scene1_41,主人公の心の声（地の文）,普通,先生が教室を去ると、教室にざわざわと喧騒が戻ってきた。
scene1_42,青野,普通,「はい！班リーダーでーす！○○くん、転校生だったんだね？びっくりしちゃった！しかも同じ学年で同じクラスだなんて嬉しいよ～～！！」
scene1_43,？？？,普通,「ひいろちゃん?○○くん置いてけぼりだよ?」
scene1_44,ひいろ,普通,「わっ、ごめん！そういえば自己紹介しなきゃだよね！私、光彩！青野光彩（あおのひいろ）だよ！改めてよろしくね！○○くん！！」
scene1_45,ちぐさ,普通,「わたしは黄泉山千種（よみやまちぐさ）だよぉ」
scene1_46,ゆうま,普通,「僕は赤井優魔（あかいゆうま）。よろしくね」
scene1_47,とうか,普通,「あたしは神尾橙夏（かみおとうか）！」
scene1_48,ひすい,普通,「わたくしは、鬼月氷翠（きつきひすい）。このハロウィンジャー学園の生徒会長をしております」
scene1_49,主人公,普通,「みんな、よろしくね！」
scene1_50,？？？,普通,「ちぐさちゃん！今日の当番の事なんだけど…」
scene1_51,ちぐさ,普通,「あ、花ちゃん！みんなごめんねぇ、また後で～」
scene1_52,ゆうま,普通,「じゃあとりあえず解散で、また後で話そっか～」
scene1_53,主人公の心の声（地の文）,普通,班の和気あいあいとした雰囲気に自然と頬が緩んだ。
scene1_54,主人公の心の声（地の文）,普通,少々緊張していたが、何とかやっていけそうでホッとした。
